query,embedding_output,RT_1,RT_2,RT_submit,catchResponse,species,sameSpecies,pid,birdExperience,attentionWeight,n_reference,n_select,is_ranked
0,./img/warblers_finalized/T12.jpg,"['T12', 'T8', 'T9', 'T21', 'T10', 'T6', 'T32', 'T1', 'T33']",5237,6589,10510,NA,T,True,33730,0,0.8999999999999999,8,2,True
1,./img/warblers_finalized/G9.jpg,"['G9', 'G36', 'G12', 'G16', 'G1', 'G28', 'G29', 'G18', 'G26']",3155,12861,14749,NA,G,True,33730,0,0.8999999999999999,8,2,True
2,./img/warblers_finalized/T28.jpg,"['T28', 'T1', 'T33', 'G2', 'G22', 'R18', 'G38', 'R6', 'R35']",10602,12750,14749,NA,T,False,33730,0,0.8999999999999999,8,2,True
3,./img/warblers_finalized/R20.jpg,"['R20', 'R3', 'R21', 'T1', 'T12', 'C15', 'G38', 'G11', 'T23']",6061,7272,8511,NA,R,False,33730,0,0.8999999999999999,8,2,True
4,./img/warblers_finalized/C39.jpg,"['C39', 'C39', 'R12', 'G29', 'T8', 'T36', 'C38', 'T3', 'G14']",4687,10188,12134,1,C,False,33730,0,0.8999999999999999,8,2,True
5,./img/warblers_finalized/R1.jpg,"['R1', 'R34', 'R27', 'T9', 'C19', 'C22', 'G1', 'G20', 'C2']",9154,15631,16533,NA,R,False,33730,0,0.8999999999999999,8,2,True
6,./img/warblers_finalized/C26.jpg,"['C26', 'C20', 'C12', 'C5', 'C32', 'C0', 'C16', 'C23', 'C39']",11885,14767,17114,NA,C,True,33730,0,0.8999999999999999,8,2,True
7,./img/warblers_finalized/C20.jpg,"['C20', 'C38', 'C15', 'T34', 'R26', 'G10', 'T20', 'G15', 'R29']",4756,15050,17118,NA,C,False,33730,0,0.8999999999999999,8,2,True
8,./img/warblers_finalized/G37.jpg,"['G37', 'G26', 'T1', 'R19', 'T24', 'R16', 'R37', 'C22', 'C28']",3393,15580,17346,NA,G,False,33730,0,0.8999999999999999,8,2,True
9,./img/warblers_finalized/T8.jpg,"['T8', 'G24', 'G2', 'T3', 'C23', 'R8', 'R34', 'R32', 'G35']",20099,26553,28501,NA,T,False,33730,0,0.8999999999999999,8,2,True
10,./img/warblers_finalized/T31.jpg,"['T31', 'T26', 'T10', 'R9', 'T2', 'T29', 'C16', 'R25', 'R27']",9829,13009,17830,NA,T,False,33730,0,0.8999999999999999,8,2,True
11,./img/warblers_finalized/R5.jpg,"['R5', 'R36', 'R19', 'R14', 'G27', 'G22', 'R39', 'T0', 'G19']",4719,9508,10717,NA,R,False,33730,0,0.8999999999999999,8,2,True
12,./img/warblers_finalized/C3.jpg,"['C3', 'C10', 'R24', 'T6', 'G8', 'G12', 'T18', 'T35', 'G19']",3853,10451,13836,NA,C,False,33730,0,0.8999999999999999,8,2,True
13,./img/warblers_finalized/R16.jpg,"['R16', 'R10', 'C1', 'T35', 'T24', 'C37', 'G1', 'T23', 'G3']",4456,8843,10931,NA,R,False,33730,0,0.8999999999999999,8,2,True
14,./img/warblers_finalized/T9.jpg,"['T9', 'T17', 'T23', 'T3', 'T36', 'T28', 'T6', 'T15', 'T12']",18742,26620,28482,NA,T,True,33730,0,0.8999999999999999,8,2,True
15,./img/warblers_finalized/C32.jpg,"['C32', 'T36', 'G30', 'G4', 'T8', 'T27', 'G10', 'T2', 'T34']",21618,24140,25784,NA,C,False,33730,0,0.8999999999999999,8,2,True
16,./img/warblers_finalized/T14.jpg,"['T14', 'T6', 'G24', 'C11', 'C10', 'G6', 'G4', 'G36', 'C39']",7585,11766,13409,NA,T,False,33730,0,0.8999999999999999,8,2,True
17,./img/warblers_finalized/G31.jpg,"['G31', 'G12', 'T0', 'T23', 'R35', 'R12', 'R37', 'T15', 'G2']",4797,12033,13220,NA,G,False,33730,0,0.8999999999999999,8,2,True
18,./img/warblers_finalized/G25.jpg,"['G25', 'G21', 'G25', 'T19', 'T12', 'C18', 'R2', 'R28', 'T38']",3250,5401,6244,1,G,False,33730,0,0.8999999999999999,8,2,True
19,./img/warblers_finalized/R18.jpg,"['R18', 'R29', 'R39', 'T7', 'G2', 'G9', 'C3', 'C14', 'T11']",4456,7827,9144,NA,R,False,33730,0,0.8999999999999999,8,2,True
20,./img/warblers_finalized/T38.jpg,"['T38', 'G5', 'G33', 'G31', 'G15', 'R29', 'T27', 'C30', 'C34']",8056,10267,12874,NA,T,False,33730,0,0.8999999999999999,8,2,True
21,./img/warblers_finalized/T35.jpg,"['T35', 'T35', 'T5', 'T37', 'T34', 'T16', 'T14', 'T36', 'T32']",7189,12668,14469,1,T,True,33730,0,0.8999999999999999,8,2,True
22,./img/warblers_finalized/C11.jpg,"['C11', 'C4', 'C39', 'T37', 'G19', 'G35', 'R34', 'T21', 'T4']",5168,8522,9953,NA,C,False,33730,0,0.8999999999999999,8,2,True
23,./img/warblers_finalized/C13.jpg,"['C13', 'C0', 'T30', 'R16', 'G6', 'T0', 'T26', 'T22', 'G20']",6859,16602,18391,NA,C,False,33730,0,0.8999999999999999,8,2,True
24,./img/warblers_finalized/R9.jpg,"['R9', 'R15', 'R37', 'R33', 'R5', 'R21', 'R19', 'R13', 'R35']",8194,13412,15078,NA,R,True,33730,0,0.8999999999999999,8,2,True
25,./img/warblers_finalized/G18.jpg,"['G18', 'G18', 'G3', 'R22', 'C18', 'T10', 'T24', 'R16', 'T6']",2360,4281,5624,1,G,False,33730,0,0.8999999999999999,8,2,True
26,./img/warblers_finalized/G12.jpg,"['G12', 'G19', 'G22', 'G18', 'G38', 'G14', 'G31', 'G4', 'G24']",18381,19893,21228,NA,G,True,33730,0,0.8999999999999999,8,2,True
27,./img/warblers_finalized/T16.jpg,"['T16', 'T34', 'T22', 'G39', 'T14', 'C23', 'G1', 'C16', 'R34']",8623,11744,13859,NA,T,False,33730,0,0.8999999999999999,8,2,True
28,./img/warblers_finalized/G18.jpg,"['G18', 'G18', 'G18', 'R22', 'C18', 'T10', 'T24', 'G3', 'T6']",1704,4168,6181,1,G,False,33730,0,0.8999999999999999,8,2,True
29,./img/warblers_finalized/R6.jpg,"['R6', 'R16', 'R30', 'C7', 'R1', 'T6', 'T26', 'T32', 'C8']",6038,8655,9790,NA,R,False,33730,0,0.8999999999999999,8,2,True
30,./img/warblers_finalized/T11.jpg,"['T11', 'T13', 'T28', 'C33', 'R13', 'C34', 'G18', 'T37', 'R35']",2695,6056,7531,NA,T,False,33730,0,0.8999999999999999,8,2,True
31,./img/warblers_finalized/R25.jpg,"['R25', 'R15', 'R11', 'G15', 'C2', 'G18', 'T17', 'G29', 'G37']",7012,9317,10207,NA,R,False,33730,0,0.8999999999999999,8,2,True
